,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
76,Sheet,Manana,Front Cover,Back Cover,1,1,Piano,None,Nicolo Ferrata,P,"Leo Feist, Inc.",,1911,,,
77,Book,The Prince of Pilsen,Front Cover,Back Cover,1,1,Comedy,Frank Pixley,Gustav Luders,"NY, London, Chicago & San Francisco",M.Witmark & Sons,,1902,Front Cover: Orange and black details.,NOT DOWNLOADED: 1SixRHXUn9-d5pND-n6c,1SixRHXUn9-d5pND-n6cqQHNvMK9wQhiW
78,Book,Favorite Songs,Front Cover,Back Cover,1,1,Romance/Piano,Arthur P. Schmidt,Arthur P. Schmidt,"Boston, Mass.",Arthur P. Schmidt,,1890,,NOT DOWNLOADED: 1DhRWuRLG0VrLgIduNcM,1DhRWuRLG0VrLgIduNcM0rPGNFw1LNV_w
79,Book,German Songs,Front Cover,Back Cover,1,1,Piano,Nathan Haskell Dole,Friedr Wickede,New York,G. Shirmer,,1890,,NOT DOWNLOADED: 19OXorsRqrCcMvWWz2Yh,19OXorsRqrCcMvWWz2YhCX3RS9EoZEX05
80,Book,Creole Serenade,Front Cover,Back Cover,1,1,Piano,Eugene Oudin,Theodore Rittef,35 Union Square. NY,G. Shirmer,,1887,Front Cover: Blue color details.,NOT DOWNLOADED: 150Yz-QtghuJXLoHlNL9,150Yz-QtghuJXLoHlNL9RfyER-VaX-jUu
81,Book,I've Lost My Gal,Front Cover,Back Cover,1,2,Popular Vocal,Harry Williams,Egbert Van Alstyne,Detriot and NY,Jerome H. Remick & Co.,,1909,Front Cover: Green and green details. A picture of Williams and Van Alastyne.,NOT DOWNLOADED: 1vdXEhrU-ngoJ0wk7MU4,1vdXEhrU-ngoJ0wk7MU4yi-mGUCo7ZBBW
82,Book,Good Evening Caroline,Front Cover,Back Cover,1,4,Popular Vocal(piano),Jack Norworth,Albert Von Tilzer,40 West 28th St. NY,The New York Co.,,1908,Front Cover: Green details and a picture of Ed Morton.,NOT DOWNLOADED: 1i4KaPZZX5j9nDqXeFxF,1i4KaPZZX5j9nDqXeFxFOyA_J3rsvkbsc
83,Book,I've Lost My Gal,Front Cover,Back Cover,1,4,Popular Vocal,Harry Williams,Egbert Van Alstyne,Detroit and NY,Jerome H. Remick & Co.,,1908,Front Cover: Two red hair women facng each other,NOT DOWNLOADED: 1w78zZffH1E4KZ5RJ2xn,1w78zZffH1E4KZ5RJ2xnrlQThbVscnldV
84,Book,Who's Your Friend,Front Cover,Back Cover,1,1,Popular Vocal(piano),Howard & Emerson,Howard & Emerson,"1356 Fifth Avenue, NY",Howard & Emerson Publishing Co.,,1902,Front Cover: Red details with a pose woman to the bottom right.,NOT DOWNLOADED: 1z2BqgFz9FlUI8m4p_Xk,1z2BqgFz9FlUI8m4p_Xkh4U473TInf-GR
85,Book,Next To Your Mother Who do You Love?,Front Cover,Back Cover,1,2,Romance,Irving Berlin,Ted Snyder,111 West 38St. NY,Ted Snyder Co. Music Publishers,,1909,Front Cover: A mand and A woman looking at each other flritiously,NOT DOWNLOADED: 1oiFMJm1adDeeMmysc6n,1oiFMJm1adDeeMmysc6nT98YFuJGc23at
86,Book,Next To Your Mother Who do You Love?,Front Cover,Back Cover,1,2,Romance,Irving Berlin,Ted Snyder,112 West 38St. NY,Ted Snyder Co. Music Publishers,,1909,Front Cover: A mand and A woman looking at each other flritiously,,
87,Book,Sweetheart Days Song,Front Cover,Back Cover,1,3,Romance,L.W. Heiser,J. Anton Dailey,Detriot and NY,Jerome H. Remick & Co.,,1907,,NOT DOWNLOADED: 1_j-0xhxpHPdnrYoMliz,1_j-0xhxpHPdnrYoMlizmIJyNe9wSY3kf
88,Book,How Do You Do Miss Josephine,Front Cover,Back Cover,1,4,Romance,Junie McCree,Albert Von Tilzer,"1367-9 Broadway, NY",The New York Music Co.,,1909,Front Cover: A picture of Beattie Evans and orange details.,NOT DOWNLOADED: 12mUu12Tw4J8f27Vk0Oo,12mUu12Tw4J8f27Vk0OozaRIjCoUQ5Yyr
