,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
89,Book,Cupids I.O.U,Front Cover,Back Cover,1,6,Popular Vocal (piano),Jack Drislane & Alfred Bryan,Geo. W. Meyers,125 W. 37th St. NY,F.B. Haviland Pub. Co. Inc.,,1910,Front Cover: A woman getting a letter handed by a baby angel.,NOT DOWNLOADED: 1pD8_cIe8B2ck6buIKL0,1pD8_cIe8B2ck6buIKL0HwXSNH20a8odH
90,Book,Anona Vocal,Front Cover,Back Cover,1,1,Popular Vocal,Vivian Grey,Vivian Grey,59 Dearborn St. Chicago,"Leo Feist, Inc.",,1903,Front Cover: A woman posing next to a piano.,NOT DOWNLOADED: 1MbTshmw-zEmzcMXrmXo,1MbTshmw-zEmzcMXrmXoyXcF2aavFYn8t
91,Book,"Mandy, How Do You Do",Front Cover,Back Cover,1,2,Popular Vocal,Percy Wenrick,Percy Wenrich,Detriot and NY,Jerome H. Remick & Co.,,1909,Front Cover: A woman posing with a rose looking into the distance.,NOT DOWNLOADED: 1nCq_HjRXA_UHqDSuqg2,1nCq_HjRXA_UHqDSuqg2vCFbUIYRJvi-P
92,Book,My Wife's Gone To The Country! Hurrah! Hurrah!,Front Cover,Back Cover,1,2,Comedy,Geo. Whiting & Irving Berlin,Ted Snyder,112 West 38St. NY,Ted Snyder Co. Inc.,,1909,Front Cover: A man cheering of happiness. The book has orange details.,NOT DOWNLOADED: 1ayyd6Cwnv1t-ncIsKqw,1ayyd6Cwnv1t-ncIsKqwiR_U620irZEhc
93,Book,"Good-Bye 'Sis""",Front Cover,Back Cover,1,4,Historical,Will D. Cobb,Theodore Morse,Broadway 37th St. NY,F.B. Haviland Pub. Co. Inc.,,1904,Front Cover: Patrioit color and two anchors.,NOT DOWNLOADED: 1dGWLkphqs2gkYQFPyg-,1dGWLkphqs2gkYQFPyg-RgHwBLzPlzgqL
94,Book,I'm Just Pinin' For You,Front Cover,Back Cover,1,2,Romance,Harry Williams,Egbert Van Alstyne,Detroit and NY,Jerome H. Remick & Co.,,1910,Front Cover: A picture of a beach during a sunset.,NOT DOWNLOADED: 1m8cgtV4wxsZebR14p8y,1m8cgtV4wxsZebR14p8y3Kg2JtHok71Se
95,Book,One Sweetly Solemn Thought,Front Cover,Back Cover,1,3,Romance,Phoebe Carey,R.S. Ambrose,Broadway & 28th St. NY,De Luxe Music Co.,,1907,Front Cover: A woman sitting alone reflecting.,NOT DOWNLOADED: 1dDUVKHdQu0a8f8Lomvw,1dDUVKHdQu0a8f8Lomvw3palE52LBytI2
96,Book,Lonesome,Front Cover,Back Cover,1,9,Popular Vocal,George Meyers,George Meyers,122 West 36th St. NY,F.A. Mills,,1909,Front Cover: A man sitting alone reflecting.,NOT DOWNLOADED: 1Dxnx6NWhpN517dHZK-f,1Dxnx6NWhpN517dHZK-fCweQbQuvuHP1E
97,Sheet,"You, You, You",Front Cover,Back Cover,1,1,Popular Vocal,Lester C. Riemer,Lester C. Riemer,"Asbury Park, NJ",The Riemer Music Pub. Co.,,1908,,NOT DOWNLOADED: 1-toikgMiiLNE8VsUvtj,1-toikgMiiLNE8VsUvtjf8HfLUAZsK1TI
98,Book,American Artist Edition,Front Cover,Back Cover,1,2,Popular Vocal,J.O.Prochazka,J.O. Prochazka,"Red Bank, NJ",H.K. Allstrom & Co.,,,,NOT DOWNLOADED: 1e7CexC2J00USCwNl6tC,1e7CexC2J00USCwNl6tCTlpc7RxIDjpkL
99,Book,The Merry Widow,Front Cover,Back Cover,1,7,Piano,None,Franz Lehar,37 West 17th St. NY,Chappell & Co. Ltd.,,1908,Front Cover: A man and a woman dancing.,NOT DOWNLOADED: 1MaifpoEDnFFIHsaYxGw,1MaifpoEDnFFIHsaYxGwsvAVNc8sv55FL
100,Book,Just As The Sun Went Down,Front Cover,Back Cover,1,1,Piano,Lyn Udall,Lyn Udall,"Chicago, NY, London",M.Witmark & Sons,,1898,,NOT DOWNLOADED: 1IYLPDALzzGQTxDCoLTo,1IYLPDALzzGQTxDCoLTocXNSQj4sXBivk
101,Book,Watching and Waiting for You Love,Front Cover,Back Cover,1,5,Romance,Vincent P. Bryan,Harry Von Tilzer,42 West 28th St. NY,Harry Von Tilzer,,1902,Front Cover: Flowers framing the title.,NOT DOWNLOADED: 1-16BIo5krc-jvYDGLPB,1-16BIo5krc-jvYDGLPBljFjd1ADY9zEt
102,Book,Choice of Sacred Songs,Front Cover,Back Cover,1,1,Religious,Herry F. Lyte,Seymour Hawthorne,"Chicago, New York, London, Cincinatti",The Church Company,,1909,,NOT DOWNLOADED: 1bqp0s2Iz1lFu5Yzzx1M,1bqp0s2Iz1lFu5Yzzx1MbHeaE_6HPGIdG
103,Book,Are You Sincere,Front Cover,Back Cover,1,3,Popular Vocal,Alfred Bryan,Albert Gumble,Detroit and NY,Jerome H. Remick & Co.,,1908,"Front Cover: A women named ' Adele Ritches"" is posing in the center.",NOT DOWNLOADED: 1IVFLGWqwblmItfgFO5O,1IVFLGWqwblmItfgFO5O17yOlT4-VCqVC
104,Book,New York Hippodrome,Front Cover,Back Cover,1,2,Popular Vocal(piano),Manuel Klein,Manuel Klein,1416 Broadway NY,M.Witmark & Sons,,1911,,NOT DOWNLOADED: 14BIQLuNjGOYD2BzGgmV,14BIQLuNjGOYD2BzGgmVddy0vbXwOEsKx
105,Book,English Songs 3rd Series,Front Cover,Back Cover,1,1,Waltz,F. E. Weatherly M.A.,P. De Faye,35 Union Square. NY,G. Shirmer,,1887,,NOT DOWNLOADED: 1kLFZBzFKWIjtMAzW99_,1kLFZBzFKWIjtMAzW99_eAOj22AV0AgRo
106,Book,I'd Live Or I Would Die For You Song,Front Cover,Back Cover,1,1,Romance,Dave Reed Jr.,Ernest R. Ball,Chicago,M. Witmark & Sons,,1907,,NOT DOWNLOADED: 14vv8eFYTVrwwT_Sk4sW,14vv8eFYTVrwwT_Sk4sWLj7mFEEpX_Aj1
107,Book,If All The Girls In All This World Were Just As Nice As You,Front Cover,Back Cover,1,1,Romance,Arthur J. Goodhart,Fred Fischer,Broadway & 39th St. NY,"Shapiro, Bernstein & Co. Inc.",,1912,,NOT DOWNLOADED: 10BHacLvfgIMWTBMJ1D7,10BHacLvfgIMWTBMJ1D7F665dyE5YpYjP
108,Book,Hiawatha,Front Cover,Back Cover,1,2,Piano,None,Neil Moret,Detroit and NY,Whitney-Warner Pub. Co.,,1901,,NOT DOWNLOADED: 1BgzooeNw0zVrG1nuATg,1BgzooeNw0zVrG1nuATgKsy1EZuxB6bRu
109,Book,Peaceful Henry,Front Cover,Back Cover,1,1,Piano,None,E.H. Kelly,Detroit Michigan,Whitney-Warner Pub. Co.,,1903,,NOT DOWNLOADED: 1oS2FaU6RoWBephMvvM1,1oS2FaU6RoWBephMvvM1EYToTSCnp2bLD
110,Book,Terpsichore,Front Cover,Back Cover,1,1,Waltz,None,Emile Waldteufel,717 Broadway NY,Spear & Dehnhoff,,,,NOT DOWNLOADED: 110-1x2paiNUBP0jU-rw,110-1x2paiNUBP0jU-rw4l3Y1csfRLlKK
111,Book,Popular Vocal Gems,Front Cover,Back Cover,1,1,Popular Vocal,None,Emile Waldteufel,717 Broadway NY,Spear & Dehnhoff,,,,NOT DOWNLOADED: 16XRE3LlhvlbsDAsc3vk,16XRE3LlhvlbsDAsc3vkwJcd-bdq2qEeg
112,Book,Gordon's Popular Edition,Front Cover,Back Cover,1,1,Piano,None,Emile Waldteufel,"Red Bank, NJ",Allstrom & Morford Music,,,,NOT DOWNLOADED: 1gMGYfnlspG8l1hu6buJ,1gMGYfnlspG8l1hu6buJG-1-SyNFDKMwt
113,Book,Charming,Front Cover,Back Cover,1,1,Waltz,None,Emile Waldteufel,,,,,,NOT DOWNLOADED: 1lbAOIozpRkmlkbm9H6E,1lbAOIozpRkmlkbm9H6E39LqMJu5MlbGs
114,Book,Popular Humorous Songs,Front Cover,Back Cover,1,1,Comedy,Felix McGlennon,Felix McGlennon,547 Broadway NY,Wm. A. Pound & Co.,,,,,
115,Book,Lily Of The Valley,Front Cover,Back Cover,1,1,Piano,None,Sidney Smith,,,,,,NOT DOWNLOADED: 1VIToHnwgC6eTm1qFK3L,1VIToHnwgC6eTm1qFK3L4HPHhL7zW79sj
116,Book,It's The Pretty Things You Say,Front Cover,Back Cover,1,2,Popular Vocal,Alfred Bryan,Ted Snyder,112 W. 38th St. NY,Ted Snyder Co.,,1908,Front Cover: A woman sitting in a couch while a man is talking to her.,NOT DOWNLOADED: 1v3pxVpKtSCj-kI1u536,1v3pxVpKtSCj-kI1u536qYdKY1dZ61mCV
117,Book,Will You Forgive If I Forget,Front Cover,Back Cover,1,3,Popular Vocal,Kurt Hirsekorn,G. Selig,152 Lake St. Chicago,American Music Publishing Co.,,1909,Front Cover: A man and a woman taking a stroll at night.,NOT DOWNLOADED: 1Y1v2i9tbRCbyTcAYRlL,1Y1v2i9tbRCbyTcAYRlL0GZTfEAmwvnrv
118,Sheet,Lady Love,Front Cover,Back Cover,1,1,Popular Vocal,Wm. McKienna,Albert Gumble,Detroit and NY,Jerome H. Remick & Co.,,1909,Front Cover: A blonde woman posed in front of a white building.,NOT DOWNLOADED: 1UXdpPAM-t6W2Oi_K1Uy,1UXdpPAM-t6W2Oi_K1UyMNns6d_vA9CGb
119,Book,I'm Going To Do What I Please,Front Cover,Back Cover,1,3,Popular Vocal,Alfred Bryan,Ted Snyder,112 West 38St. NY,Ted Snyder Co.,,1909,,NOT DOWNLOADED: 1reN_s_225RU9h03Mz1h,1reN_s_225RU9h03Mz1hTNH5GveWy6fwX
120,Book,Keep Your Foot On The Soft Pedal,Front Cover,Back Cover,1,2,Popular Vocal,Will Dillion,Harry Von Tilzer,125 W 43rd St. NY,Harry Von Tilzer Music Pub. Co.,,1909,Front Cover: A woman looking to the side.,NOT DOWNLOADED: 1TqD46eQNLIS32k1kPpc,1TqD46eQNLIS32k1kPpcxqXdQocQ7kcwd
121,Book,That Mellow Melody,Front Cover,Back Cover,1,2,Popular Vocal,Sam M. Lewis,George W. Meyers,1367 Broadway NY,Geo. W. Meyer Music Co.,,1912,Front Cover: A picture of a woman in the middle with green details.,NOT DOWNLOADED: 1Ne6M2WpPsYbUdESAhxu,1Ne6M2WpPsYbUdESAhxuKY8iyJAcyfAVA
122,Book,I'll Make A Ring Around Rosie,Front Cover,Back Cover,1,3,Popular Vocal,William Jerome,Jean Schwartz,Detroit and NY,Jerome H. Remick & Co.,,1910,Front Cover: A woman with a ring of flowers around her hips.,NOT DOWNLOADED: 1d33dv4BOSwU6x_OY8ks,1d33dv4BOSwU6x_OY8ks1z1C-ukPYhW6O
123,Book,I Will Be Waiting For You,Front Cover,Back Cover,1,3,Romance,David J. Clark,Wm. T. Francis,Detroit and NY,Jerome H. Remick & Co.,,1908,Front Cover: A man sitting in a park with a circle of a woman's side profile.,NOT DOWNLOADED: 148fVy08ChyzYaWzOgE3,148fVy08ChyzYaWzOgE3n0x5-rcK8gLY2
124,Book,Good Bye Girlie and Remember Me,Front Cover,Back Cover,1,2,Romance,Irving Berlin,Ted Snyder,112 West 38St. NY,Ted Snyder Co.,,1909,Front Cover: A man and a woman hugging surrounded by flowers.,NOT DOWNLOADED: 1kQfuZ1O-ZrtElQxfjaQ,1kQfuZ1O-ZrtElQxfjaQ6kSit4yIsHVR-
125,Book,It Was Your Pleasing Smile,Front Cover,Back Cover,1,2,Romance,Arthur Longbrake,Ed. Edwards,136 N 9th St. NY,The Jos Morris Co.,,1909,Front Cover: Pink tones with a picture of a woman in the top right.,NOT DOWNLOADED: 1jjPXLorUQE4n0vnBhui,1jjPXLorUQE4n0vnBhuihxyPsla5xRZ20
126,Book,Some-Day Sweetheart Some-Day,Front Cover,Back Cover,1,2,Piano,Ed Gardentier,Gus Edwards,1512 Broadway NY,Gus. Edward Music Pub. Co.,,1908,,NOT DOWNLOADED: 16NgA1r-04y801g6idaP,16NgA1r-04y801g6idaPn-pH2LHyAIO8c
127,Book,A Choice Selection of Piano Music,Front Cover,Back Cover,1,1,Piano,None,M. E. Kenney,14th St Sixth Ave. NY,R.A. Saalfield,,1881,,NOT DOWNLOADED: 1FNH2cvGqt9Pn5xOb_Fp,1FNH2cvGqt9Pn5xOb_FpUQuKGOS9UKwcu
128,Book,Music For The Sanctuary,Front Cover,Back Cover,1,1,Religious,None,R. Topliff,1308 Chestnut St. Philadelphia,F.A. North & Co.,,1877,,NOT DOWNLOADED: 1jd6MXfDnGNVBMDntuyh,1jd6MXfDnGNVBMDntuyhdL8Tufp0P79Qr
129,Book,Garden Of Roses,Front Cover,Back Cover,1,1,Piano,William Stjury,Virginia Gabriel,,,,,,NOT DOWNLOADED: 1C-BBZl9TffnR-HdIitu,1C-BBZl9TffnR-HdIitu9LIxsZdqbMzYM
130,Book,Popular Vocal Gems,Front Cover,Back Cover,1,1,Popular Vocal Gems,Alice Hawthorne,Alice Hawthorne,Philadelphia,George M. Vickere,,1897,Front Cover: Yellow details and a woman playing the piano on the left and another dancing on the left.,NOT DOWNLOADED: 1VPmj4QfIIBNK62D9_Mo,1VPmj4QfIIBNK62D9_Momnk0CG1-nb-oW
131,Book,Sweetest Rose Of Junetime,Front Cover,Back Cover,1,1,Popular Vocal,E. S. Phelps,E. S. Phelps,547 Broadway NY,Wm. A. Pound & Co.,,,,NOT DOWNLOADED: 10Z9ppnOF6f1-zIXAN0o,10Z9ppnOF6f1-zIXAN0os9AkWElEmMAMV
132,Book,Gems Of German Songs,Front Cover,Back Cover,1,1,Popular Vocal,Dr. Mackay,Franz Abt,701 Broadway NY,G. Shirmer,,1865,,NOT DOWNLOADED: 11er1n9OjDg3GMp3oEC6,11er1n9OjDg3GMp3oEC6t4EL6MTEQPExJ
133,Book,Dime Series,Front Cover,Back Cover,1,1,Popular Vocal,Donizetti,Donizetti,24 Beekman St. NY,Benj W. Hitchcock,,,,NOT DOWNLOADED: 1WchxEx_UjmTqCj0jW5V,1WchxEx_UjmTqCj0jW5V4X-yb1XlIpm9Q
134,Book,Ruby,Front Cover,Back Cover,1,1,Piano,J.J Lonsdale,Virginia Gabriel,,,,,,NOT DOWNLOADED: 157Qt_gIVsDVS51bFM-w,157Qt_gIVsDVS51bFM-wFWK-IPU53CXWh
135,Book,Chas. T. Ellis New Songs,Front Cover,Back Cover,1,1,Popular Vocal,Chas T. Ellis,Chas T. Ellis,819 Broadway NY,T.B. Harms & Co.,,1886,,NOT DOWNLOADED: 1H0gbJHsK-F7j5R4m-PS,1H0gbJHsK-F7j5R4m-PSfkHroWNs8C6ZR
136,Book,Cricket On The Hearth,Front Cover,Back Cover,1,1,Waltz,James E. Stewart,James E. Stewart,Cincinnati,The Newhall & Evans Music Co.,,1884,,NOT DOWNLOADED: 1UXzII4zTmlx0U0VNZpH,1UXzII4zTmlx0U0VNZpHJDDrxHjONcxvx
137,Book,50 Selected Dianoforte Studies,Front Cover,Back Cover,1,3,Piano,None,Dr. Hans Von Bulow,"Red Bank, NJ",Allstrom & Morford Music,,,,NOT DOWNLOADED: 1z4k_nD9G1vkPlS_atHH,1z4k_nD9G1vkPlS_atHHih9jFSjcnlEcP
138,Book,Caprice Heroique,Front Cover,Back Cover,1,1,Piano,None,Charles Kulling,,,,,,NOT DOWNLOADED: 1T8SOALOp0m1PApVwQtr,1T8SOALOp0m1PApVwQtrjufWugekOH_hY
139,Book,The Butterfly,Front Cover,Back Cover,1,1,Piano,None,Wm. Clifton Daland,13 East 14th St. NY,S.T. Gordon & Son,,1879,,NOT DOWNLOADED: 1nHu1f8k9hSxyfBVIdC2,1nHu1f8k9hSxyfBVIdC2oFUgRyGpalV5w
140,Book,My Own Iona,Front Cover,Back Cover,1,2,Historical,L. Wolfe Gilbert,Anatol Friedland & Carey Morgan,102-104 W. 38th St. NY,Jos. W. Stern & Co.,,1916,Front Cover: Blue details and a woman with a gold and blue head piece.,NOT DOWNLOADED: 1DxbiBN3iyZ01Ae9LebD,1DxbiBN3iyZ01Ae9LebDdPxKHki83D3JY
141,Book,A Girlie Was Just Made To Love,Front Cover,Back Cover,1,3,Popular Vocal,Joe Goodwin,Geo. W. Meyers,Broadway & 37th St. NY,F. B. Haviland Pub. Co.,,1911,Front Cover: Purple colors with a flower frame.,NOT DOWNLOADED: 1DNIQLT2XAtxX5L8ErIC,1DNIQLT2XAtxX5L8ErICD2B64BoX6SEJW
142,Sheet,To The Land Of My Own Romance,Front Cover,Back Cover,1,3,Popular Vocal,Harry B. Smith,Harry B. Smith,,M. Witmark & Sons,,1911,,NOT DOWNLOADED: 1fEiVWLyplQGiTdcN1GK,1fEiVWLyplQGiTdcN1GKNZcUkMP_5F6Pv
143,Book,A Sunrise Song,Front Cover,Back Cover,1,2,Popular Vocal (piano),Henry Van Dyke,W. J. Baltzell,,Oliver Ditson Company,,1909,,NOT DOWNLOADED: 1UhxHzXf0ZXdFMbbFR19,1UhxHzXf0ZXdFMbbFR19mGiZcd_NBdQUS
144,Book,Cluster Of Gems Banjo,Front Cover,Back Cover,1,7,Piano,Ruby Brooks,George Rosey,142 Charing Cross Rd. NY,Brooks & Denton Company,,1897,,NOT DOWNLOADED: 12I-lkOXThjD89FWuNxM,12I-lkOXThjD89FWuNxMboNgL6xN7H3zf
145,Book,The Handicap,Front Cover,Back Cover,1,3,Waltz,Brooks & Denton,George Rosey,45 East 20th St. NY,G. M. Rosenberg,,1895,,NOT DOWNLOADED: 1ImAzfeacEOcZ1Mm_BPi,1ImAzfeacEOcZ1Mm_BPi0JiXgO7pEg49z
146,Book,George Rosey's Famous Compositions,Front Cover,Back Cover,1,7,Piano,None,George Rosey,45 East 20th St. NY,G. M. Rosenberg,,1895,,NOT DOWNLOADED: 1FxMzhqc1CqhlSCQUDvf,1FxMzhqc1CqhlSCQUDvfiFC3StoxR2ntf
147,Book,On The Mill Day Galop,Front Cover,Back Cover,1,1,Piano,Tune Banjo,A.A. Babb,171 Tremont St. Boston,L.B. Gatcomb Co.,,,,NOT DOWNLOADED: 18f3POwD8bjHvWMDQTae,18f3POwD8bjHvWMDQTaexL_41gQ4fCkP_
148,Book,The Beautiful Song Jamie,Front Cover,Back Cover,1,1,Popular Vocal,J. I. Molloy,"J. I, Molloy",New York,,,,,NOT DOWNLOADED: 1SuFXPtKZ4Nvl28crIv4,1SuFXPtKZ4Nvl28crIv4hS6wTa6VX5MRY
149,Book,Ship Ahoy!,Front Cover,Back Cover,1,1,Popular Vocal,George Cooper,Garrison Millard,717 Broadway NY,Spear & Dehnhoff,,1877,,NOT DOWNLOADED: 1et1-Xfj3qv1lwjxb4yc,1et1-Xfj3qv1lwjxb4yc3VGoSnZyLXvDE
150,Book,An April Girl,Front Cover,Back Cover,1,4,Piano,None,J. Remington Fairlamb,,The Century Co.,,1885,,NOT DOWNLOADED: 1nuaJZKLWtmLuCgLhL2y,1nuaJZKLWtmLuCgLhL2yzkm9V8nrGKjGC
151,Sheet,Hiawatha,Front Cover,Back Cover,1,1,Popular Vocal/Waltz,None,Louise V. Gustin,Detroit and NY,Whitney-Warner Pub. Co.,,1900,,NOT DOWNLOADED: 1gINKRUxnSxGnL5aCOup,1gINKRUxnSxGnL5aCOupU7eVrz76zVKs1
152,Book,Come After Breakfast,Front Cover,Back Cover,1,2,Popular Vocal,"James Brymn, James Burries & Chris Smith","James Brymn, James Burries & Chris Smith",102-104 W. 38th St. NY,Jos. W. Stern & Co.,,1909,,NOT DOWNLOADED: 1sw_OMzj7YEJvuPKNkkM,1sw_OMzj7YEJvuPKNkkM9vFeauyZbQGKO
153,Book,Pomp and Circumstance,Front Cover,Back Cover,1,1,Historical,None,Edward Elgar,111-113 West 57th St. NY,Boosey & Co. Ltd.,,1902,,NOT DOWNLOADED: 1WERlyAq8iFtl5-QAIIZ,1WERlyAq8iFtl5-QAIIZYgbR5DJ6GXY5h
154,Book,White Silver Sands,Front Cover,Back Cover,1,1,Popular Vocals,Charles G. Matthews,Charles G. Matthews,1619 Broadway NY,Fellows Music Co.,,1952,Front Cover: A picture of Dave Garner in a suit.,NOT DOWNLOADED: 1VdkNGNj2aWu-IqZVZ9S,1VdkNGNj2aWu-IqZVZ9Sb_AdkK2O4tsSj
155,Book,Lonesome-That's All,Front Cover,Back Cover,1,9,Popular Vocal,Ben J. Brandley & Lee S. Roberts,Ben J. Bradley & Lee S. Roberts,235 South Wabash Ave. Chicago,Forster Music Published Inc.,,1918,,NOT DOWNLOADED: 1b44MW5qHASlXiuQspZH,1b44MW5qHASlXiuQspZHEhHe5nEP8TEU6
156,Book,Over The Hill,Front Cover,Back Cover,1,2,Popular Vocal,Lou Klein,Edgar Allen & Maurie Rubens,Broadway & 47 St. NY,Shapiro Bernstein & Co.,,1921,Front Cover: Landscape with pink clouds and a pink river.,NOT DOWNLOADED: 156J6uxG6dZjqdo1qKQo,156J6uxG6dZjqdo1qKQoBGqnkhCdNVvSd
157,Sheet,The Blue Alsatian Mountains,Front Cover,Back Cover,1,1,Popular Vocal,Claribel,Stephen Adams,,,,,,,
158,Sheet,In Gay Paree,Front Cover,Back Cover,1,1,Piano,None,F. Dk Blon,,Oliver Ditson Company,,1900,,,
159,Book,Songs With Accompniment of Piano and Other Intrusments,Front Cover,Back Cover,1,1,Piano,,,New York,G. Shirmer,,1901,,NOT DOWNLOADED: 1nvC7hSQaX7LGTkFC4LW,1nvC7hSQaX7LGTkFC4LW8VVd26CNL2naG
160,Book,Twelve Days Of Christmas,Front Cover,Back Cover,1,1,Christmas,The Andrew Sisters,Vic Schoen,"RKO Bldg, Radio City, NY",Leeds Music Corporation,,1949,Front Cover: Hot pink color and a picture of 3 women and a man singing on a mic in a studio.,NOT DOWNLOADED: 10LUtV8jhPwqgn18POre,10LUtV8jhPwqgn18POrejyQ1Ku6wwYMM2
161,Book,The Evening Star,Front Cover,Back Cover,1,1,Piano Vocal,Richard Wagner,Richard Wagner,47 West 63rd St. NY,Century Music Publishing Co.,,1944,,NOT DOWNLOADED: 1OB0qVrzHK3mQYxqA3l3,1OB0qVrzHK3mQYxqA3l36xFGX29ASM_aQ
162,Book,C.D. Blake's Standard Composition,Front Cover,Back Cover,1,25,Piano,None,Chas D. Blake,516 Washington St. Boston,"White, Smith & Co. Music Publishers",,1878,,NOT DOWNLOADED: 1m7bxr3RmnnWavoT9IDR,1m7bxr3RmnnWavoT9IDRS_TS_8gvYgxBM
163,Book,Only A Rose,Front Cover,Back Cover,1,6,Popular Vocal(piano),Brian Hooker,Rudolf Friml,1619 Broadway NY,Famous Music Corporation,,1925,,NOT DOWNLOADED: 1JzJPoQ8jDi2_2ui1VmM,1JzJPoQ8jDi2_2ui1VmMhn3ZlD3x6uL_9
164,Book,Invitation to the Dance,Front Cover,Back Cover,1,1,Piano/Waltz,None,C.M Von Weber,231-235 W. 40th St. NY,Century Music Publishing Co.,,1902,Front Cover: Green background with two women playing the piano.,,
165,Book,Polonaise,Front Cover,Back Cover,1,1,Piano,None,Ant. Dvorak,"657 &659 Braod St. Newark, NJ",A.K. De Lemos American Book Sheet,,,,NOT DOWNLOADED: 1Om9D_CZ8ZanEbcmRmSx,1Om9D_CZ8ZanEbcmRmSx4ynBZBsRKip-B
166,Book,O Sole Mio,Front Cover,Back Cover,1,2,Popular Vocal,Lulu M. Hauck,E.di Capua,112-114 West 44th St. NY,F.B. Haviland Pub. Co. Inc.,,1923,,NOT DOWNLOADED: 1Bm6UE0-Otdc6GjCM0-q,1Bm6UE0-Otdc6GjCM0-qBqGFIGzJPLk_f
167,Book,Christine Nilsson's,Front Cover,Back Cover,1,1,Popular Vocal,Largehetto,Handel,"298, 300 Washington St. Boston",White Smith & Co.,,,,NOT DOWNLOADED: 1YRo-eGwAzigg7i12D3e,1YRo-eGwAzigg7i12D3ek8OIErtJC2OVU
168,Book,The Red Mill,Front Cover,Back Cover,1,1,Popular Vocal,Henry Blossom,Victor Herbert,New York,M.Witmark & Sons,,1906,,NOT DOWNLOADED: 12zb6NcFSAlROjDulxfK,12zb6NcFSAlROjDulxfKigmt-wfZjx0Hf
169,Book,Sing Me To Sleep,Front Cover,Back Cover,1,1,Lullaby,Cliftion Bingham,Edwin Greene,26-28 West St. New York,G. Shirmer,,1902,,NOT DOWNLOADED: 1UvpEIzE6bAHtaa8WSTV,1UvpEIzE6bAHtaa8WSTVroUxLxu-nVo6p
170,Book,La Golodrina,Front Cover,Back Cover,1,1,Comedy,Al. Dubin,N. Sarradell,148-150 West 46th St. NY,Jack Mills Incorporation,,1924,,NOT DOWNLOADED: 1hJw_tOZ1RYDuqV2Hcfu,1hJw_tOZ1RYDuqV2HcfuCH-meIdTrWGRK
171,Book,Forgotten,Front Cover,Back Cover,1,1,Piano Vocal,Flora Wulschner,Eugene Cowles,"Boston, Mass.",Oliver Ditson Company,,1894,Front Cover: Flowers and vines framing tha box of secular.,NOT DOWNLOADED: 1lTs00cMqIxF_KMkMN0N,1lTs00cMqIxF_KMkMN0Nw1HEnP1E0mxcT
172,Sheet,Two River Ramble,Front Cover,Back Cover,1,1,Historical,None,None,The Parker Homestead,The Parker Homestead,,2019,An advertisement with three microphones on the cover showcasing a music event at the Parker Homestead,NOT DOWNLOADED: 1f82DpsKeMO90UwZ7vOB,1f82DpsKeMO90UwZ7vOBEmtsyVKxZomNr
173,Sheet,Two River Ramble,Front Cover,Back Cover,1,1,Historical,None,None,The Parker Homestead,The Parker Homestead,,2018,An advertisement showcasing a music for charity event at the Parker Homestead,NOT DOWNLOADED: 1lEIZrmC6DkwlulUtIyD,1lEIZrmC6DkwlulUtIyDmFedBvgyiO_f4
174,Sheet,With You in Eternity,Front Cover,Back Cover,1,1,Popular Vocal,Arthur J. Lamb,Alfred Solman,102-104 West 38th Street New York,Jos. W. Stern & Co.,,,,NOT DOWNLOADED: 1d0R4x515pDBZ73Ky8Jh,1d0R4x515pDBZ73Ky8JhLMNl5Qo1nHtkj
175,Book,June Barcarolle,Front Cover,Back Cover,2,1,Piano,None,Peter Iljitch Tchaikovsky,"Boston, Mass.",Oliver Ditson Company,,1900,Inside of a newspaper.Front Cover: A man playing the violin and an angel whispering in his ear.,,
176,Book,Madrilena,Front Cover,Back Cover,2,8,Piano,None,Paul Wachs,"Boston, Mass.",Oliver Ditson Company,,1902,Inside a magazine. Front Cover: A woman playing a trompted.,,
177,Book,Would You?,Front Cover,Back Cover,2,6,Popular Vocal,J.W. Walsh,Arthur Bergh,"Boston, Mass.",Oliver Ditson Company,,1910,Inside a maganize (Musician).,,
178,Book,La Spagnola,Front Cover,Back Cover,2,8,Popular Vocal,Nathan Haskell Dole,Vincenzo Di Chiara,"Boston, Mass.",Oliver Ditson Company,,1909,Inside a magazine. Front Cover: A group of women playing instruments.,,
179,Book,Goldenrod,Front Cover,Back Cover,2,9,Piano,None,Carl Wilhelm Kern,"Boston, Mass.",Oliver Ditson Company,,1908,Inside a magazine. Front Cover: A man singing and playing the guitar for a woman in a canoa.,,
180,Book,Resignation,Front Cover,Back Cover,2,9,Piano,None,Wilhelm Fink,"Boston, Mass.",Oliver Ditson Company,,1909,Inside a magazine. Front Cover: A group of men playing instruments.,,
181,Book,My Mother Bids Me Bind My Hair!,Front Cover,Back Cover,2,8,Piano,None,Franz Josef Haydn,"Boston, Mass.",Oliver Ditson Company,,1903,"Inside a magazine. Front Cover: A woman singing, while a man playing a piano and another couple listens.",,
182,Book,Eglogue,Front Cover,Back Cover,2,12,Piano,None,F. Liszt,"Boston, Mass.",Oliver Ditson Company,,1903,Inside a magazine. An older man playing the piano.,,
183,Book,When The Heart Is Young,Front Cover,Back Cover,2,8,Piano,None,Carl Wilhelm Kern,"Boston, Mass.",Oliver Ditson Company,,1909,Front Cover: Brown.,,
